study,profession,pop,group1,group2,h,rl_sm,n_creative,n_left_creative,n_right_creative,n_control,n_left_control,n_right_control,PL_creative,PL_control,es_type,lower,effect,upper,chi_sq,p,correction,method,notes,comparison,pref_success,include,exclude_rnr,model_obj
peterson_1979,Art/Architecture,Students,"Design, Arch., Art",Sciences,Drawing hand,R/L,147,18,129,92,4,88,12.244897959183673,4.3478260869565215,OR,1.0468459645941859,3.069767441860465,8.956901135808451,3.33,0.06801394833743661,NA,Score,NA,R/L,preference,0,0,
peterson_1979,Art/Architecture,Students,"Design, Arch., Art",Sciences,Drawing hand,R/L,147,18,129,92,4,88,12.244897959183673,4.3478260869565215,RR,0.9839497214268781,2.816326530612245,8.061077669220975,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,NA,R/L,preference,0,0,
peterson_1979,Art/Architecture,Students,"Design, Arch., Art",Behavioral Sciences,Drawing hand,R/L,147,18,129,90,8,82,12.244897959183673,8.88888888888889,OR,0.6046591453541774,1.4302325581395348,3.372876675209616,0.35,0.5564050364601224,NA,Score,NA,R/L,preference,0,0,
peterson_1979,Art/Architecture,Students,"Design, Arch., Art",Behavioral Sciences,Drawing hand,R/L,147,18,129,90,8,82,12.244897959183673,8.88888888888889,RR,0.6249248348115655,1.3775510204081631,3.0366000967136664,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,NA,R/L,preference,0,0,
peterson_1979,Art/Architecture,Students,"Design, Arch., Art",Business Admin.,Drawing hand,R/L,147,18,129,241,23,218,12.244897959183673,9.54356846473029,OR,0.6924812180264324,1.3225480283114255,2.525892748651671,0.45,0.5032100380108586,NA,Score,NA,R/L,preference,0,0,
peterson_1979,Art/Architecture,Students,"Design, Arch., Art",Business Admin.,Drawing hand,R/L,147,18,129,241,23,218,12.244897959183673,9.54356846473029,RR,0.7171664752759463,1.2830523513753327,2.2954549510088964,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,NA,R/L,preference,0,0,
peterson_1979,Art/Architecture,Students,"Design, Arch., Art",Engineering,Drawing hand,R/L,147,18,129,75,8,67,12.244897959183673,10.666666666666668,OR,0.4910968079771747,1.1686046511627908,2.7724637552022258,0.02,0.9003404067394338,NA,Score,NA,R/L,preference,0,0,
peterson_1979,Art/Architecture,Students,"Design, Arch., Art",Engineering,Drawing hand,R/L,147,18,129,75,8,67,12.244897959183673,10.666666666666668,RR,0.5236001612667929,1.1479591836734693,2.5168255949195304,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,NA,R/L,preference,0,0,
peterson_1979,Art/Architecture,Students,"Design, Arch., Art",Nursing,Drawing hand,R/L,147,18,129,71,3,68,12.244897959183673,4.225352112676056,OR,0.9537976113368686,3.1627906976744184,10.41468485235054,2.68,0.10188238247803852,NA,Score,NA,R/L,preference,0,0,
peterson_1979,Art/Architecture,Students,"Design, Arch., Art",Nursing,Drawing hand,R/L,147,18,129,71,3,68,12.244897959183673,4.225352112676056,RR,0.8825243089957405,2.8979591836734695,9.516074905397238,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,NA,R/L,preference,0,0,
