profession,es_type,N,N_stu,lower,effect,upper,p,I2,model_type,label,metagen_obj
Music,OR,15,12,1.1419390747308802,1.3337910480201332,1.5578751959231274,2.77892760489507e-4,".02 [.00, .55]",random,GLMM,NA
Art,OR,9,9,1.0359532593340943,1.3352490744543537,1.7210140271938914,0.02556596846358554,".36 [.00, .71]",random,GLMM,NA
Architecture,OR,10,9,0.9501924868187642,1.1749983281126808,1.4529909362785025,0.13664024184086507,".31 [.00, .67]",random,GLMM,NA
Music,OR,15,12,1.1640830208380208,1.3661222853900103,1.6032276609409586,1.331156663263124e-4,".26 [.00, .60]",random,Inverse,NA
Art,OR,9,9,1.056687901060574,1.3814709265862448,1.8060790883359004,0.01811785708077428,".43 [.00, .74]",random,Inverse,NA
Architecture,OR,10,9,0.8412808644743212,1.1747135394330963,1.6402986897719385,0.3444909782418157,".37 [.00, .70]",random,Inverse,NA
Music,OR,15,12,1.1640830208380208,1.3661222853900103,1.6032276609409586,1.331156663263124e-4,".26 [.00, .60]",random,MH,NA
Art,OR,9,9,1.056687901060574,1.3814709265862448,1.8060790883359004,0.01811785708077428,".43 [.00, .74]",random,MH,NA
Architecture,OR,10,9,0.8412808644743212,1.1747135394330963,1.6402986897719385,0.3444909782418157,".37 [.00, .70]",random,MH,NA
Music,OR,15,12,1.0476904938021747,1.303813443274891,1.6225493167310427,0.01743175483281936,".50 [.10, .73]",random,Peto,NA
Art,OR,9,9,0.8653068727935593,1.329702580364392,2.043331687080624,0.19361066885024628,".55 [.05, .79]",random,Peto,NA
Architecture,OR,10,9,0.704332021880767,1.0548704814384753,1.579868155985407,0.7954801750979683,".52 [.00, .76]",random,Peto,NA
Music,OR,15,12,1.146780161669107,1.356999791089031,1.6057553963398674,3.7832370191884777e-4,".26 [.00, .60]",random,SSW,NA
Art,OR,9,9,0.9743253564438048,1.3386105018341796,1.839096215417137,0.07194386390773463,".43 [.00, .74]",random,SSW,NA
Architecture,OR,10,9,0.7989078959666882,1.1548476319928995,1.6693702238426955,0.4438075343153628,".37 [.00, .70]",random,SSW,NA
