profession,es_type,N,N_stu,lower,effect,upper,p,I2,model_type,label,metagen_obj
Art,OR,8,8,1.3063272919443436,1.9277844745246429,2.844886578681838,9.470018975770496e-4,".71 [.40, .86]",random,GLMM,NA
Architecture,OR,7,7,0.8103971699787013,0.964379025132828,1.147618647459722,0.6827927573729833,".00 [.00, .71]",random,GLMM,NA
Music,OR,11,8,1.2400201226666827,1.4126632086655244,1.6093427071373396,2.050723579206261e-7,".10 [.00, .50]",random,GLMM,NA
Art,OR,8,8,1.166253466507524,1.9260073058958136,3.180701493194763,0.01044167723520125,".71 [.40, .86]",random,Inverse,NA
Architecture,OR,7,7,0.8220716795913866,0.9771373630999004,1.1614527663091518,0.7930688453098995,".00 [.00, .71]",random,Inverse,NA
Music,OR,11,8,1.2544634644638226,1.4296298401386718,1.629255484685235,8.347286042343352e-8,".17 [.00, .57]",random,Inverse,NA
Art,OR,8,8,1.166253466507524,1.9260073058958136,3.180701493194763,0.01044167723520125,".71 [.40, .86]",random,MH,NA
Architecture,OR,7,7,0.8220716795913866,0.9771373630999004,1.1614527663091518,0.7930688453098995,".00 [.00, .71]",random,MH,NA
Music,OR,11,8,1.2544634644638226,1.4296298401386718,1.629255484685235,8.347286042343352e-8,".17 [.00, .57]",random,MH,NA
Art,OR,8,8,1.1993404425996743,1.933260444718795,3.1162927675589485,0.00680640200487932,".71 [.41, .86]",random,Peto,NA
Architecture,OR,7,7,0.8113233287151398,0.964579540256674,1.1467853278115836,0.6829016627898166,".00 [.00, .71]",random,Peto,NA
Music,OR,11,8,1.1822613808303395,1.4063910222753828,1.6730105030984173,1.179825951315264e-4,".34 [.00, .68]",random,Peto,NA
Art,OR,8,8,1.1662568168363885,1.9817506125049504,3.3674705549135524,0.0114542488124973,".71 [.40, .86]",random,SSW,NA
Architecture,OR,7,7,0.837462920798306,1.0464121831706596,1.3074948512875118,0.6897514525350417,".00 [.00, .71]",random,SSW,NA
Music,OR,11,8,1.2585272094188846,1.4434888678723208,1.6556337408338022,1.548581509405949e-7,".17 [.00, .57]",random,SSW,NA
Art,OR,8,8,1.4977651180160496,1.8358378643058024,2.2502197597465847,4.908814871773019e-9,".71 [.40, .86]",random (all),glmer,NA
Architecture,OR,7,7,0.8129486714594739,0.9661887436971602,1.1483144277376844,0.6962561308562313,".00 [.00, .71]",random (all),glmer,NA
Music,OR,11,8,1.2462114626104153,1.4172758222850208,1.6118217627577889,1.07338740240142e-7,".10 [.00, .50]",random (all),glmer,NA
Art,OR,8,8,1.5057915627106686,1.8457520563105727,2.2624649637708916,3.615122373782189e-9,".71 [.40, .86]",random,glmer,NA
Architecture,OR,7,7,0.8134096820155817,0.9661728826283038,1.1476259254907717,0.6951399784324779,".00 [.00, .71]",random,glmer,NA
Music,OR,11,8,1.243494895686924,1.4156113844823872,1.6115511200141504,1.4819333127192398e-7,".10 [.00, .50]",random,glmer,NA
